top - 21:23:06 up  6:02,  1 user,  load average: 1.33, 0.68, 0.25
任务: 289 total,   1 running, 288 sleeping,   0 stopped,   0 zombie
%Cpu(s): 28.9 us, 15.8 sy,  0.0 ni, 55.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3877.9 total,    635.1 free,   1734.2 used,   1508.6 buff/cache
MiB Swap:    923.3 total,    923.3 free,      0.0 used.   1824.3 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
   1701 chen      20   0    6044    452      0 S   0.0   0.0   0:00.13 ssh-age+
   1723 chen      20   0  309740   9448   8504 S   0.0   0.2   0:00.03 at-spi-+
   1728 chen      20   0    7248   4268   3804 S   0.0   0.1   0:00.17 dbus-da+
   1744 chen      20   0   98860   4332   3916 S   0.0   0.1   0:00.00 gnome-s+
   1762 chen      20   0  156240   5732   5108 S   0.0   0.1   0:00.06 dconf-s+
   1766 chen      20   0  569732  18072  15340 S   0.0   0.5   0:00.33 gnome-s+
   1804 chen      20   0  323992  10672   8956 S   0.0   0.3   0:03.94 ibus-da+
   1810 chen      20   0  175468   9068   8208 S   0.0   0.2   0:00.02 ibus-me+
   1811 chen      20   0  287372  33784  20032 S   0.0   0.9   0:02.60 ibus-ex+
   1815 chen      20   0  209640  30596  20560 S   0.0   0.8   0:00.55 ibus-x11
   1817 chen      20   0  249268   9340   8460 S   0.0   0.2   0:00.13 ibus-po+
   1827 chen      20   0  162912   6416   5764 S   0.0   0.2   0:00.44 at-spi2+
   1830 chen      20   0  244508   4796   4368 S   0.0   0.1   0:00.02 xdg-per+
   1835 chen      20   0  581764  21192  18372 S   0.0   0.5   0:00.28 gnome-s+
   1842 chen      20   0 1079512  27272  23412 S   0.0   0.7   0:00.24 evoluti+
   1851 chen      20   0  847884  31000  26972 S   0.0   0.8   0:00.34 evoluti+
   1864 chen      20   0  830252  33720  27768 S   0.0   0.8   0:00.44 evoluti+
   1865 chen      20   0  171132   6536   5892 S   0.0   0.2   0:00.18 gvfsd-m+
   1878 chen      20   0 2607680  27112  22016 S   0.0   0.7   0:00.19 gjs
   1891 chen      20   0  326496  10796   9500 S   0.0   0.3   0:00.11 gvfsd-t+
   1903 chen      20   0  322888   9228   8312 S   0.0   0.2   0:00.03 gsd-a11+
   1906 chen      20   0  432188  31196  20920 S   0.0   0.8   0:00.71 gsd-col+
   1911 chen      20   0  383332  17464  15320 S   0.0   0.4   0:00.08 gsd-dat+
